gene	cell	contrast	logFC	AveExpr	P.Value	adj.P.Val	sig	direction
Hhat	Mo	PR8_100_vs_Sham	1.36305914760425	6.26514953056965	0.0028977634862714	0.0165460951115853	TRUE	up
Hic1	Mo	PR8_100_vs_Sham	2.08125374583961	5.8795072960226	1.38798178221947e-06	3.01368976752579e-05	TRUE	up
Hilpda	Mo	PR8_100_vs_Sham	1.03123773107275	10.3451200403868	9.75380172984702e-05	0.0010236694864669	TRUE	up
Hivep3	Mo	PR8_100_vs_Sham	1.84149127571098	7.50357987122429	1.21795836070545e-05	0.000180402652545112	TRUE	up
Hk3	Mo	PR8_100_vs_Sham	1.9049691352533	9.97048923378084	6.49874872097355e-09	3.47867803609303e-07	TRUE	up
Hlcs	Mo	PR8_100_vs_Sham	-1.77764267397153	7.62276572952914	7.01518874056519e-06	0.000112801651844529	TRUE	down
Hltf	Mo	PR8_100_vs_Sham	-1.06663018468018	8.03426468001638	0.000974553781230711	0.00680826419406265	TRUE	down
Hmgn2	Mo	PR8_100_vs_Sham	1.36621877667205	11.3613848714845	5.68244046511243e-07	1.42550877185148e-05	TRUE	up
Hmgn3	Mo	PR8_100_vs_Sham	1.47906843029629	10.5399187895524	2.78172692003519e-06	5.33831407136249e-05	TRUE	up
Hmox1	Mo	PR8_100_vs_Sham	1.46707453539268	9.61288943216988	2.89482421665235e-06	5.52224810339938e-05	TRUE	up
Hmox2	Mo	PR8_100_vs_Sham	1.29460122746186	9.13535308171316	3.69866366920355e-08	1.46527505013868e-06	TRUE	up
Hook2	Mo	PR8_100_vs_Sham	1.21205730552274	6.00685497834265	0.000837502952278878	0.00603869530705621	TRUE	up
Hook3	Mo	PR8_100_vs_Sham	-1.45970429127973	9.98984557752393	2.4967178406795e-06	4.89705502942101e-05	TRUE	down
Hopx	Mo	PR8_100_vs_Sham	-1.02410043606987	9.05692411590089	0.00015181121156071	0.00146546347468586	TRUE	down
Hoxb3	Mo	PR8_100_vs_Sham	1.33839581693101	8.83717634800072	6.17861156917738e-07	1.51063179432693e-05	TRUE	up
Hpgd	Mo	PR8_100_vs_Sham	-2.90393989394838	9.00630576577626	4.03979749578187e-12	6.59055046080702e-10	TRUE	down
Hpgds	Mo	PR8_100_vs_Sham	1.12768932551897	5.54786763757436	0.00133595789966604	0.00877750664374179	TRUE	up
Hrh2	Mo	PR8_100_vs_Sham	1.47044194923387	6.37466548036391	0.000475062143156779	0.00376964283650186	TRUE	up
