cluster	n_cells	avg_Neuron	avg_Vglut2_Glu	avg_Vgat_GABA	avg_Tac1	avg_Cx3cr1_Imm	avg_Astrocyte	avg_Oligo	avg_Endothel	avg_Ependyma	avg_Pericyte	avg_Schwann	pct_Tac1	pct_Cx3cr1	pct_Slc17a6	pct_Slc32a1	top_class
10	245	1.37456191556473	0.352937435837415	0.226408832088444	0.501253365241214	0.0644237316227197	0.337826725952446	10.7733811886721	0.00329576047254238	0.0238191873071522	0.0729308016297275	0.13233218786432	0.216326530612245	0.00408163265306122	0.110204081632653	0.0489795918367347	Oligo
11	237	0.788359672591561	0.181294351761256	0.0559175272254899	0.123405625387097	0.0310006474476192	5.50088093335611	0.431911412223951	0.0194509214535107	2.52788435282946	0.0459322112202901	0.527323303672223	0.0632911392405063	0.00421940928270042	0.0759493670886076	0.0253164556962025	Astrocyte
12	218	0.620899517283072	0.0513201645495129	0.0565863298267275	0.0724541072061578	0.0117090249387679	7.30264515558114	0.416646363352706	0.00724908516352902	0.0585174344117722	0.0540900468016483	0.353215679850801	0.0825688073394495	0.00458715596330275	0.0688073394495413	0.036697247706422	Astrocyte
13	192	0.525265621652938	0.0604066144529855	0.0648592702650934	0.0453541615300412	0.0613400809234054	0.0777989380546641	58.2661682743907	0.00936658844044724	0.00187616012089753	0.0860817940443421	0.0263604716137056	0.078125	0.015625	0.0833333333333333	0.0520833333333333	Oligo
14	189	7.79989091143973	5.85917278040922	0.0429045331602198	0.632035100070645	0.0223839985549772	0.0557623784881957	0.222431410817875	0.00628956776209018	0.0320241817407915	0.00825868614301632	0.0779195413550111	0.158730158730159	0.00529100529100529	1	0.0264550264550265	Neuron
15	144	1.89150089032589	0.382625944040887	0.355150557900506	0.439280980779803	0.0711281777509169	3.08061588777025	0.928814594741235	0.031071339796172	0.143507204957723	0.0814778007985096	0.290513694689878	0.0416666666666667	0	0.0416666666666667	0.0138888888888889	Astrocyte
16	140	9.79195252741864	2.9910490789212	1.76322921223237	3.89182745519685	0.0124089437074664	0.0444195863503754	0.126864412564464	0.0445704800358936	0.0114925247957372	0.0497702810352526	0.126618300959421	0.271428571428571	0.0214285714285714	0.628571428571429	0.478571428571429	Neuron
17	137	1.31621842390902	0.312019363094311	0.0599184337536181	0.193551956448692	0.0197427628446013	1.03783405657414	0.378356506736089	0.181864896609742	0.0189169708294941	1.04114894512858	0.860412154387562	0.0510948905109489	0	0.0656934306569343	0.0218978102189781	Neuron
18	112	0.289932023851812	0.112830547481433	0.0859097627463254	0.0484891943748876	0.00408341805337546	0.452631172792168	0.12305402310564	33.2101951167572	0.0117707560168328	1.2041977710174	0.366106508678567	0.0625	0	0.0625	0.0357142857142857	Endothel
19	85	7.15077952573837	7.80537186567155	0.242400650577339	0.0478980054012742	0.00653971773326556	0.0518271967810331	0.178224801538008	0.00712890236895277	0.0304766073740351	0.0616217900668784	0.0112841660524942	0.141176470588235	0	1	0	Vglut2_Glu
20	80	0.421858775207812	0	0.0872940168245891	0	0.203656429314016	1.2438118013288	0.236222709122132	0	0	0	1.54249559662655	0	0	0	0	Schwann
21	76	0.397167692468555	0.0961137312133559	0.088913002980161	0.115266210231797	0.012834804927119	0.319609188783488	0.431370305444725	0.225487340092753	0.00526990337105179	31.9814853884234	0.159597117346257	0.0921052631578947	0	0.0657894736842105	0.0526315789473684	Pericyte
