gene	slope	AveExpr	t	P.Value	adj.P.Val	B
Abcg5	0.0276628219966535	4.74860412059729	0.535948273708609	0.598442558479034	0.845022885876182	-6.34397724885259
Adam29	0.0268190623668071	4.78695607818674	0.536240421745959	0.598244717875487	0.845022885876182	-6.34381835669348
Fgd3	0.0433480873353113	5.10601242932462	0.536216700372805	0.598260780623003	0.845022885876182	-6.34383126129494
Mff	-0.0266622044750959	10.5044544549306	-0.536065508480943	0.598363164048036	0.845022885876182	-6.34391349780556
Nphp1	0.0428347113974187	4.91831913433958	0.53636439328452	0.59816077494215	0.845022885876182	-6.34375090627077
Ptprm	0.0267942008499537	4.84248275849928	0.535981943112698	0.598419756154376	0.845022885876182	-6.34395894116378
Sntg2	-0.0593319241509804	5.65366601700709	-0.536270649070558	0.598224249979807	0.845022885876182	-6.34380191200554
Trem5	0.0245128394647102	4.61317284219489	0.535924170688059	0.598458882312185	0.845022885876182	-6.34399035415041
Antxr2	-0.0287175472227072	8.39384348951371	-0.535100348814979	0.59901694939441	0.84533498450336	-6.34443793953024
Dusp29	-0.0557791928339764	5.16787369800559	-0.535309711432807	0.598875100352565	0.84533498450336	-6.34432425526986
Gm5414	0.0832272889171177	5.80476695758161	0.535361846794767	0.598839779750324	0.84533498450336	-6.3442959389809
Map9	0.0248903246141809	4.64293087672698	0.534974164078887	0.599102451060395	0.84533498450336	-6.34450643725563
Nipal3	0.0211986267923153	4.67348112727011	0.535519312810854	0.598733106078467	0.84533498450336	-6.34421039821889
Or1j19	-0.0454431700913857	4.81990757908599	-0.535145457960057	0.598986385289384	0.84533498450336	-6.34441344882739
Stpg1	0.0192343668419738	4.67215787458446	0.535058129553562	0.599045556126913	0.84533498450336	-6.34446085944307
Tpp2	-0.035313824335726	9.55818875625874	-0.535015194098614	0.599074648822717	0.84533498450336	-6.34448416636536
Gtf2a1	0.0303782156563153	8.1013856314784	0.534816891013022	0.5992090262951	0.845410830910885	-6.34459178896874
Cntd1	0.0612052425832905	9.6703888196633	0.534662435206367	0.599313701489577	0.845483983458852	-6.34467558810492
Mccc1	0.0477155298349157	6.54260774358273	0.534540762137758	0.599396166038465	0.845525792124594	-6.3447415846413
Pou2af1	-0.0396692684677808	4.98949859380466	-0.534461682893454	0.599449765389849	0.845526878916413	-6.34478447011437
Msx2	0.0340931201989358	5.00010276194897	0.53437663454883	0.599507413180577	0.845533675357344	-6.34483058583192
Tnni3	0.0369967972936895	5.04088082402183	0.534233627462783	0.599604352918052	0.84559588232033	-6.3449081124606
Il12rb2	-0.0295301802343455	4.82165788737454	-0.53401961197812	0.599749441249181	0.845725974202039	-6.34502409643074
Clec12a	-0.0500433794035938	5.275720781115	-0.533713372658598	0.599957081183803	0.845726374819325	-6.34518998207329
Eif3j1	-0.0301182455614119	8.56945273836922	-0.533642936471684	0.60000484413006	0.845726374819325	-6.34522812335206
Gm19757	0.0321485947938863	10.1860579743732	0.533735773509843	0.599941891503946	0.845726374819325	-6.34517785096376
Gramd1c	0.0238391844711693	4.75941128357239	0.533581646614701	0.600046406445136	0.845726374819325	-6.34526130791468
Rcor3	0.0281445834475485	4.74615671395508	0.533551612864737	0.600066773661247	0.845726374819325	-6.34527756793373
Trp53inp1	-0.0480515367490614	11.1643333313084	-0.533864178049069	0.599854825958709	0.845726374819325	-6.34510830437906
Zfp111	0.0231176055980468	4.69194025942868	0.533408865972442	0.600163581284883	0.845788334812411	-6.34535483777669
Mllt10	-0.0371555769916061	8.33697223056275	-0.532985165780839	0.60045096998041	0.846044350254113	-6.34558407155585
Pex12	-0.0816592598843183	6.56762968824445	-0.533038731247516	0.600414633704697	0.846044350254113	-6.34555510086881
Catsperd	-0.0395821068729993	4.94199032185036	-0.532393137264858	0.600852645825282	0.846176313451545	-6.34590408015465
Cst11	-0.056952968852268	6.15314645288872	-0.532425697568392	0.600830551093753	0.846176313451545	-6.34588648931939
Dgcr8	-0.0385894579977246	7.67773255233073	-0.53271098680442	0.60063697688131	0.846176313451545	-6.34573231608695
Pgls	-0.0524440782641181	7.16258971832046	-0.532379583378339	0.600861843322512	0.846176313451545	-6.34591140238925
Slc6a13	-0.0193564005767855	4.64278515622066	-0.532512116715436	0.600771910822109	0.846176313451545	-6.34583979597265
Traf3ip2	-0.0303592304588831	5.01462185213693	-0.532479748112293	0.600793874419065	0.846176313451545	-6.34585728599402
