gene	TX91_mean	TX91_mean_threshold	pass
Dock1	8.60881408996362	6.11716417170886	TRUE
Timp2	8.60669635550168	6.11716417170886	TRUE
D16Ertd472e	8.60460945003024	6.11716417170886	TRUE
Trps1	8.59939622147571	6.11716417170886	TRUE
Rpa2	8.59284457670971	6.11716417170886	TRUE
Prkag2	8.58228140665373	6.11716417170886	TRUE
Gstm1	8.57695180240731	6.11716417170886	TRUE
Lpin1	8.55916420454114	6.11716417170886	TRUE
Ipmk	8.5585464531574	6.11716417170886	TRUE
Xpc	8.55730566123855	6.11716417170886	TRUE
Cd37	8.55354660437886	6.11716417170886	TRUE
Pglyrp1	8.54621872659896	6.11716417170886	TRUE
Rarg	8.54101843206371	6.11716417170886	TRUE
Cnksr3	8.54061924437163	6.11716417170886	TRUE
Itgal	8.53398640498902	6.11716417170886	TRUE
Ap2a2	8.53302870834302	6.11716417170886	TRUE
Tpd52l2	8.51455232747568	6.11716417170886	TRUE
Klc1	8.50777494119728	6.11716417170886	TRUE
Arhgef6	8.50414368432511	6.11716417170886	TRUE
Slc22a15	8.49803389364497	6.11716417170886	TRUE
Prps2	8.48567081402875	6.11716417170886	TRUE
Cyb5a	8.48389731153222	6.11716417170886	TRUE
Hacd4	8.47756676258505	6.11716417170886	TRUE
Clec2i	8.46111240885327	6.11716417170886	TRUE
Vps13c	8.46036785285204	6.11716417170886	TRUE
Stxbp6	8.45941516677233	6.11716417170886	TRUE
Abcd2	8.45674769477553	6.11716417170886	TRUE
Thap11	8.45002998180562	6.11716417170886	TRUE
Ebpl	8.4438228704708	6.11716417170886	TRUE
Zhx1	8.43676853648154	6.11716417170886	TRUE
Icam2	8.43119444022471	6.11716417170886	TRUE
Cd2ap	8.42075411802792	6.11716417170886	TRUE
Bmx	8.40526308426078	6.11716417170886	TRUE
Mapk8	8.40030604109017	6.11716417170886	TRUE
Cfh	8.39583926642706	6.11716417170886	TRUE
Frat2	8.3939760039081	6.11716417170886	TRUE
Lrrk2	8.39394089330092	6.11716417170886	TRUE
Prorsd1	8.38841470047271	6.11716417170886	TRUE
Zbtb44	8.38159290557288	6.11716417170886	TRUE
Prr5l	8.37764976585499	6.11716417170886	TRUE
Lima1	8.36816121146765	6.11716417170886	TRUE
Gopc	8.36264671817147	6.11716417170886	TRUE
Mob3b	8.35893632873229	6.11716417170886	TRUE
Trf	8.35840271976591	6.11716417170886	TRUE
Mboat1	8.34706489828026	6.11716417170886	TRUE
Ahsa2	8.33900011961716	6.11716417170886	TRUE
2900060B14Rik	8.33889931344693	6.11716417170886	TRUE
Sqle	8.31816076727738	6.11716417170886	TRUE
Trip6	8.30092110126202	6.11716417170886	TRUE
Bcl3	8.29828119750721	6.11716417170886	TRUE
Gtf2i	8.29548168203504	6.11716417170886	TRUE
Klhl2	8.29449624371457	6.11716417170886	TRUE
Arpp19	8.28230979366439	6.11716417170886	TRUE
Utp6	8.26660004140602	6.11716417170886	TRUE
Satb1	8.2656886557853	6.11716417170886	TRUE
Spn	8.25357376254797	6.11716417170886	TRUE
D030029J20Rik	8.24937731794135	6.11716417170886	TRUE
Poglut2	8.23570553378311	6.11716417170886	TRUE
Crem	8.23023258979753	6.11716417170886	TRUE
Hlcs	8.2218192780179	6.11716417170886	TRUE
Aff4	8.2175252052842	6.11716417170886	TRUE
Tstd1	8.21558651035597	6.11716417170886	TRUE
Haao	8.21237878625404	6.11716417170886	TRUE
Gapt	8.20842830150804	6.11716417170886	TRUE
Satb2	8.20819309889985	6.11716417170886	TRUE
Galnt10	8.20625906559118	6.11716417170886	TRUE
Arhgef37	8.18717453787003	6.11716417170886	TRUE
St3gal3	8.18488440875146	6.11716417170886	TRUE
Elac1	8.18042045895605	6.11716417170886	TRUE
Svip	8.16216886192446	6.11716417170886	TRUE
Galnt9	8.16012144372261	6.11716417170886	TRUE
Dicer1	8.15938874797686	6.11716417170886	TRUE
Pcmt1	8.15321992353504	6.11716417170886	TRUE
Tbc1d5	8.15278560900427	6.11716417170886	TRUE
Specc1	8.14932752589635	6.11716417170886	TRUE
Fancl	8.140949851195	6.11716417170886	TRUE
Vezf1	8.12846336468645	6.11716417170886	TRUE
Dgkg	8.1187853549214	6.11716417170886	TRUE
Gemin2	8.11786939218981	6.11716417170886	TRUE
Treml4	8.114828800846	6.11716417170886	TRUE
Arhgap21	8.09660225316611	6.11716417170886	TRUE
Rfc4	8.08843844891607	6.11716417170886	TRUE
Rgs18	8.07459617289797	6.11716417170886	TRUE
Golim4	8.06464027095751	6.11716417170886	TRUE
Pex26	8.06116082785695	6.11716417170886	TRUE
Klhl17	8.05670685144369	6.11716417170886	TRUE
Fam219b	8.00216623105815	6.11716417170886	TRUE
Tns4	7.99940671175344	6.11716417170886	TRUE
Usp24	7.9977651077368	6.11716417170886	TRUE
Ncbp2	7.99638756879991	6.11716417170886	TRUE
Tnfsf14	7.99561043284818	6.11716417170886	TRUE
Arhgap23	7.984419831639	6.11716417170886	TRUE
Vnn3	7.98286097698133	6.11716417170886	TRUE
Mdm1	7.98102711594499	6.11716417170886	TRUE
Akap9	7.98089687460516	6.11716417170886	TRUE
Chml	7.96886977738956	6.11716417170886	TRUE
Cebpz	7.94506602488356	6.11716417170886	TRUE
Chlsn	7.94043422496421	6.11716417170886	TRUE
Septin6	7.9372381503749	6.11716417170886	TRUE
Kmt5c	7.92838743127537	6.11716417170886	TRUE
Pigk	7.92317935461942	6.11716417170886	TRUE
