gene	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	already_down_in_TX91	pass_step5
Dipk1a	-0.399566675295741	0.352456477588428	FALSE	TRUE
Klf4	-0.339068566032402	0.354322602316199	FALSE	TRUE
Ear10	-0.541444202684399	0.357773447492972	FALSE	TRUE
Gm13498	0.52128136673962	0.360393150527803	FALSE	TRUE
Usf3	-0.360477146513407	0.360393150527803	FALSE	TRUE
Ift140	-0.332343936257205	0.360946079639835	FALSE	TRUE
9130004J05Rik	-0.53067931900113	0.368186960615117	FALSE	TRUE
Snrk	-0.293123579048471	0.372004283939687	FALSE	TRUE
Arpp19	-0.419264925177115	0.372565221440131	FALSE	TRUE
Tnnt3	0.635073481498974	0.372565221440131	FALSE	TRUE
Dlgap4	-0.440007609493104	0.372999524864356	FALSE	TRUE
Emb	-0.356894800644803	0.378549253195297	FALSE	TRUE
Abca9	-0.651277517147916	0.380593552392893	FALSE	TRUE
Abtb1	-0.572025648047781	0.381056583241745	FALSE	TRUE
Ash2l	-0.303805815548627	0.381056583241745	FALSE	TRUE
Tmem71	-0.448718166495839	0.382769767829456	FALSE	TRUE
Dicer1	-0.439326400628099	0.383641219028504	FALSE	TRUE
Trps1	-0.473865334788337	0.388598712642394	FALSE	TRUE
Pcnx1	-0.506256725575834	0.389260587814286	FALSE	TRUE
Sucla2	-0.341082013762355	0.389584184419335	FALSE	TRUE
Fam234a	-0.479155937528192	0.389909420481985	FALSE	TRUE
Aff4	-0.446609555009344	0.393031205374471	FALSE	TRUE
Sdf4	-0.456824320274936	0.393482290630766	FALSE	TRUE
Kifap3	-0.456964536061371	0.397633373974103	FALSE	TRUE
Slc22a15	-0.39922511731144	0.398936307972727	FALSE	TRUE
Chml	-0.520137866939621	0.405928455229626	FALSE	TRUE
Zfp518b	-0.504627544621579	0.405928455229626	FALSE	TRUE
Thap11	-0.398481214675373	0.40827346700016	FALSE	TRUE
Klhdc2	-0.347302664468755	0.410189133217869	FALSE	TRUE
Zbtb44	-0.372978328535702	0.417753808434817	FALSE	TRUE
Herc4	-0.26387066167883	0.418275168344735	FALSE	TRUE
Herc2	-0.320520885689959	0.419263780272006	FALSE	TRUE
Ugt1a10	0.66938502164411	0.42564704632101	FALSE	TRUE
Fam117b	-0.410897831643247	0.426527262250541	FALSE	TRUE
P2ry1	-0.491245986838429	0.427318727927751	FALSE	TRUE
Gstm1	-0.485702542620038	0.429353461166506	FALSE	TRUE
Tmem109	-0.37841165951667	0.42939684295962	FALSE	TRUE
Ralgapa1	-0.355361829060207	0.431412707499496	FALSE	TRUE
Bmyc	-0.358941869441987	0.43552329920479	FALSE	TRUE
Atrnl1	-0.372638054750945	0.437311590725072	FALSE	TRUE
Srsf10	-0.450710227477026	0.439020375032872	FALSE	TRUE
Svip	-0.488889953114075	0.439020375032872	FALSE	TRUE
Tpd52l2	-0.378663633531906	0.439090290868413	FALSE	TRUE
F5	-0.558707623942913	0.440308633042798	FALSE	TRUE
Ldlrad3	-0.47707423496535	0.440308633042798	FALSE	TRUE
Ahsa2	-0.35406382870215	0.443986624393964	FALSE	TRUE
Peg13	-0.70259823284481	0.443986624393964	FALSE	TRUE
Pon2	-0.273718706825235	0.445961043567954	FALSE	TRUE
Glo1	-0.332956817105593	0.447201075715596	FALSE	TRUE
Serbp1	-0.304926091527328	0.447279498847157	FALSE	TRUE
Klc1	-0.328036986776418	0.450736979745067	FALSE	TRUE
Plcb2	-0.353591486437901	0.450736979745067	FALSE	TRUE
Il17ra	-0.353680198645803	0.455238490121348	FALSE	TRUE
Spn	-0.347147055959853	0.458895102115212	FALSE	TRUE
Stard4	-0.405762756752992	0.458895102115212	FALSE	TRUE
Anp32a	-0.362996352777003	0.462323195511474	FALSE	TRUE
Pgm2l1	-0.522278762354171	0.46272864303505	FALSE	TRUE
Ypel2	-0.539799874668783	0.463928968758826	FALSE	TRUE
Tmem268	0.396751882960677	0.464802768416319	FALSE	TRUE
Prkab2	-0.596586192685021	0.467589995236031	FALSE	TRUE
Itgal	-0.404461975374554	0.469926843932686	FALSE	TRUE
Ear4	-0.482880608397529	0.473420261816452	FALSE	TRUE
Glud1	-0.291963527116062	0.478491002546119	FALSE	TRUE
Prr5l	0.347857840367784	0.479550027507285	FALSE	TRUE
Myo5a	-0.298260092983895	0.479986192591714	FALSE	TRUE
Bltp3b	0.375280501310625	0.485068196387742	FALSE	TRUE
Tiam2	-0.608806587327825	0.487108912617156	FALSE	TRUE
Trav3-3	-0.297674928675709	0.488096389690709	FALSE	TRUE
Usp24	-0.372637878777757	0.489364020713336	FALSE	TRUE
Hlcs	-0.502953522581381	0.489884794535801	FALSE	TRUE
Arhgef18	-0.389770506073372	0.490291355384495	FALSE	TRUE
Ear2	-0.476934793043258	0.491424216462828	FALSE	TRUE
Ip6k3	-0.330413575289102	0.49244788795422	FALSE	TRUE
Mki67	-0.448132634728663	0.493348766637943	FALSE	TRUE
Cyp7b1	0.529782370608042	0.49351494399091	FALSE	TRUE
Ndrg3	-0.49536720532968	0.501291361678939	FALSE	TRUE
Cx3cr1	-0.47496830745828	0.505171163354884	FALSE	TRUE
Ipmk	-0.330641570734777	0.506331124132421	FALSE	TRUE
Itgb7	0.284851909216917	0.50699915247182	FALSE	TRUE
Ahr	-0.492079152493394	0.507079277833022	FALSE	TRUE
Grk5	-0.59741730820297	0.507533749792437	FALSE	TRUE
Nxpe4	-0.421803323478246	0.516498494985287	FALSE	TRUE
Septin11	-0.289743627942963	0.516619271180448	FALSE	TRUE
Dock8	0.252759776142293	0.517934264225544	FALSE	TRUE
Add3	-0.445031701600604	0.519156405945242	FALSE	TRUE
Gphn	-0.482735703581312	0.519156405945242	FALSE	TRUE
Scarb1	-0.314489605158547	0.519156405945242	FALSE	TRUE
Tmcc1	-0.31999987906198	0.519156405945242	FALSE	TRUE
Arhgap45	-0.317853557084689	0.519263023606022	FALSE	TRUE
Arhgap23	-0.401299893146513	0.520263267509919	FALSE	TRUE
Pex26	-0.357927739222168	0.520263267509919	FALSE	TRUE
Abcd2	-0.455261599233518	0.52123568636093	FALSE	TRUE
Ptgr3	-0.509719668033205	0.524707214496165	FALSE	TRUE
Hipk3	-0.277952130909352	0.531815571369614	FALSE	TRUE
Orc3	-0.409591472278751	0.537223018321125	FALSE	TRUE
Nadk	-0.284900430713909	0.538083896865628	FALSE	TRUE
Eeig1	-0.325509492785002	0.54175006034754	FALSE	TRUE
Kctd10	-0.254642160144726	0.54505425432366	FALSE	TRUE
Metap1d	-0.479286225066617	0.54505425432366	FALSE	TRUE
