gene_symbol	func_class	also_in_blacklist	trend_slope	trend_FDR	log2FC_0p6_vs_TX91	FDR_0p6_vs_TX91	log2FC_10_vs_TX91	FDR_10_vs_TX91	log2FC_100_vs_TX91	FDR_100_vs_TX91	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	meanExpr_TX91
Satb2	TFReg		-0.680770171385389	0.00164578193611075	-1.42251132148402	0.0160372057021136	-1.9214045684687	0.00114784352120231	-2.10293615562307	0.000185582325392836	-0.332801900341751	0.740959336407353	8.20819309889985
Arrb1	InflammReg;SignalTransduction;CellCommunication;Membrane;TFReg	CarbMetabolism	-0.665918430641938	0.000561067393367804	-1.19500347939762	0.0151029411213775	-1.53364369200265	0.00158840388382358	-2.10684803127145	2.63566180281227e-05	-0.403155429341071	0.57337455696095	8.91639725560585
Klf2	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;TFReg		-0.632456749924555	0.00084174075399392	-1.13018500124959	0.0161034910344943	-1.1494728640883	0.0114374811279182	-2.10175987880228	1.60256828849003e-05	-0.386973803507717	0.572163376383766	9.17819046060542
Mbp	InflammReg;SignalTransduction;CellCommunication;Membrane	CytoskeletalStructure	-0.623304439624128	0.000103963999783421	-0.784224301922693	0.038304969362923	-1.31353882271065	0.000655823664623919	-1.90124329181777	4.38383677634201e-06	-0.603209349407873	0.145398460287293	10.7673251885982
Insr	SignalTransduction;CellCommunication;Membrane;TFReg	CytoskeletalStructure;CarbMetabolism	-0.623022452525613	0.000109194359806066	-0.949287497797501	0.0132992824292425	-1.32326207717818	0.000652021458897575	-1.95208331529181	3.29345735416106e-06	-0.467512667465572	0.310981241273163	9.82986688485965
9130008F23Rik			-0.580819647274355	0.00328448195063542	-1.30447709731341	0.0364567506257207	-1.41074442195787	0.020062455635099	-1.90064304936636	0.000857735894611314	-0.921882685346757	0.187677546255297	6.61237235182495
S1pr5	SignalTransduction;CellCommunication;Membrane		-0.576815318174816	0.00272478334611769	-1.19779127198706	0.0225031025913499	-1.41412506924499	0.00582133985713437	-1.85060646149674	0.000223532983771173	-0.274160970234558	0.767450777428116	10.1259855068225
Ralgps2	SignalTransduction;CellCommunication;Membrane		-0.566122187936917	0.00314734883942079	-1.31985507491951	0.0129869165613054	-1.24261628208806	0.0151612040556437	-1.91282022406687	0.000159717564422846	-0.892760200037509	0.110489106167181	6.83323215418755
Pdlim1	TFReg		-0.561703305203671	0.00199635441644306	-1.03588989384273	0.0292358932063833	-0.938708223322061	0.0444826294019979	-1.90473824085245	5.84579031531374e-05	0.0195958420390916	0.989337264442322	11.0532058749956
Arhgef18	SignalTransduction;CellCommunication;Membrane		-0.560093524550588	0.000527904182686697	-0.97795966449293	0.0173091084089162	-1.18027228929647	0.00348163156327095	-1.79954087356745	2.21508858194418e-05	-0.389770506073372	0.490291355384495	10.6749385399901
Btla	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.533917339674537	0.00482940869184734	-1.12723991553465	0.0289154552350657	-1.43907995321373	0.00450404546351162	-1.67577778635543	0.000473637973740012	-0.242294585210287	0.802218152445081	9.08695230864152
Hgsnat			-0.525600181698066	0.000733050022889811	-1.04728942720043	0.0070715384034413	-1.28631540227632	0.000913104951429455	-1.67232528063492	2.35409077852961e-05	-0.076866252171877	0.931194491913315	10.6029910728264
Hdac10	TFReg		-0.515223273414587	0.00965425183514545	-1.61395470610173	0.00208002890919559	-1.34271085640535	0.00690182819111006	-1.80782552794742	0.000205380319879711	-0.024448235945461	0.987879351615188	6.57938487974641
Aph1b	SignalTransduction;CellCommunication;Membrane		-0.514198931473905	0.00580808193761917	-1.40688090517526	0.00474792390292637	-1.32785315093341	0.00531768449832496	-1.74033902299363	0.000194451869486967	-0.696035910443421	0.211761876559839	6.84549884795407
Tmc6	Membrane		-0.511819253895303	0.0087831921311561	-1.20002608937079	0.0215819335036012	-1.05501953176086	0.0397752964521716	-1.75439969885432	0.000349511739278942	-0.110307839391611	0.926557006727701	8.8816129460465
Cd209a	ImmuneReg;Membrane		-0.494030772482081	0.00238060227805547	-1.41326427580773	0.00209329955093082	-1.27578076169526	0.00366981928962418	-1.69259707964442	0.000106753463964756	-0.321211866658656	0.649945691501702	6.2247206263041
Rnase2b	ImmuneReg;Secreted		-0.493676533381089	0.00669648802887491	-1.29849878948654	0.010844064601432	-1.32669260862065	0.00696288156301364	-1.63619050489226	0.000475830803156445	0.176382561948055	0.858848060037391	6.31406679358066
Ampd3	ImmuneReg		-0.485023610225973	0.00162990609559663	-1.10251973113941	0.00689764117365092	-1.04148014745906	0.00793180525486235	-1.63709189531336	4.98167253614214e-05	-0.0361440749442625	0.973540465543062	10.867386647959
Rab36			-0.474928044355842	0.00110674751004702	-0.917025991344379	0.0499435921346787	-1.23900495242189	0.00613887830590724	-1.47576716082697	0.000585611703639996	-0.579535935713262	0.301575100358179	6.24600326436849
Camkk2	SignalTransduction;CellCommunication		-0.470298482599538	0.000255948593080342	-0.796456745791746	0.0140030708062128	-1.02139715390715	0.00148801259518644	-1.49268147262666	1.02731700626468e-05	-0.494369856998166	0.16477440814826	9.39660519427514
Smim5			-0.468731466947314	0.0110540966259064	-1.38241311556514	0.00613488500329415	-1.52278400668188	0.00196070317469691	-1.5156479261188	0.000858848220881935	-0.163028336175266	0.868566435694754	6.46081221216346
AI467606			-0.461669657687666	0.001493042272826	-0.874657612630582	0.0194959798781872	-1.26140663004218	0.000892090504912056	-1.40998251982169	0.000114071049994691	-0.238414719341819	0.70208845644788	9.37469249506623
Tmcc1			-0.45833331292995	0.000815548370543358	-0.907374163352321	0.0108710372076203	-1.07549453209967	0.0020319011525611	-1.47173758685072	3.8447507794149e-05	-0.31999987906198	0.519156405945242	10.0958058092906
Arhgap21	SignalTransduction;CellCommunication;Membrane		-0.458109059002716	0.00625210942030575	-0.919367984535766	0.0487086372728079	-0.978498375808682	0.0305025958562241	-1.50732006625141	0.000455712374943537	-0.872252740443093	0.0640530182698743	8.09660225316611
Kctd12b	SignalTransduction;CellCommunication;Membrane		-0.442353339774412	0.0160193669968491	-1.47567302446373	0.00143426069291378	-1.52389929883357	0.000801979456053781	-1.45843570779143	0.000463062779907415	-0.794807763788557	0.088935533093781	6.23800372543938
Klhl17			-0.442145375818501	0.0152854791898076	-1.10634207733037	0.0315704785137546	-1.20407179188938	0.0159307971086534	-1.44124134787533	0.00187366303733553	-0.214247248756507	0.830725376997221	8.05670685144369
Dipk1a			-0.44091314280478	0.00107371125178224	-0.861393426015342	0.0129867068509293	-0.953134815475922	0.00459046313968582	-1.4391300128624	3.6494404896629e-05	-0.399566675295741	0.352456477588428	8.84122318706066
Gstm1	Secreted	LipidMetabolism	-0.440672531471029	0.0125515863874156	-1.13070490860177	0.0158555837225347	-1.04868897414979	0.0208122468774942	-1.49624708305409	0.000521576261504985	-0.485702542620038	0.429353461166506	8.57695180240731
Sqor			-0.427179792800132	0.00125598806840295	-0.806398195025245	0.0190060591315102	-0.768194283248386	0.0223438626707671	-1.43666727992606	3.8447507794149e-05	0.0357085516365174	0.968647954727879	10.1122345165692
Bmyc	TFReg		-0.421329849666938	0.0023504384688833	-0.863411310976982	0.0137352272107611	-1.25618187279016	0.000475579783883395	-1.27350931161874	0.000145086532949458	-0.358941869441987	0.43552329920479	9.23848896334719
Rfc4			-0.417933771647873	0.0519551828181465	-1.33067657179932	0.00656603756286259	-1.70808460283417	0.000580101949188162	-1.26730989514796	0.00333807119437845	-0.71949488562216	0.1838755122079	8.08843844891607
E2f2	SignalTransduction;CellCommunication;TFReg		-0.383439178920355	0.00204335557640452	-0.769656990965215	0.0256344492734794	-0.934808263551215	0.00559506954297917	-1.22308017220585	0.000211340138707327	-0.153836135915331	0.817762783623587	11.0625803394646
Ccdc125	SignalTransduction;CellCommunication		-0.38200034131894	0.064995749998505	-1.24220179434588	0.0222376910436451	-1.22728343785673	0.0206709132434628	-1.27830725655952	0.00789660481260303	0.194089599612683	0.855601470790715	7.24442290355871
Rasgrp4	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.368528296086973	0.00984523427091458	-0.882169725980329	0.0249023913913165	-0.926390082110719	0.0156241335943547	-1.21368753491311	0.000795743980518422	-0.611855818642578	0.160404708048525	8.65714687300251
St3gal2	Secreted	CarbMetabolism;LipidMetabolism	-0.35928112200994	0.0511487475619611	-1.12544322768571	0.0220515704651387	-0.979310258336154	0.0425373703694692	-1.24631472981631	0.00441130159973786	-0.269609461333836	0.751459348985209	7.45790088578724
Dusp18			-0.355191415731352	0.0247017300617709	-1.14970227530981	0.0058784295103124	-1.29051789016876	0.00157475730797667	-1.13703284748486	0.0020571709655404	-0.317959431134115	0.608124500118556	6.15061269105386
Fam89b	SignalTransduction;CellCommunication;Membrane		-0.348899931615032	0.00515229901110205	-0.714867958738333	0.0487086372728079	-0.896538600269158	0.0104543169120282	-1.10244289153984	0.000826219839425458	0.126773955930371	0.858322553218604	9.83537933594733
6430548M08Rik			-0.339441615503431	0.0106514033089872	-0.86355815770076	0.0198428422218732	-0.950648029914849	0.00867315518066127	-1.1024420942734	0.00112632121727281	-0.523961667241762	0.218845477968293	10.4013437590981
Asap1	Membrane		-0.332953240606164	0.0205734758532306	-0.956648584270406	0.0123505217199526	-0.802703778658227	0.029759830591666	-1.16115907055794	0.000807903800335202	-0.191035362516489	0.777822847362599	9.67399430045623
Foxred2			-0.328964777741958	0.0546374248188048	-0.8401352556139	0.00456973645726115	-1.56410198008796	5.8311507000651e-06	-0.855227017648502	0.00117966601087467	-0.127861443027932	0.820297644532982	9.2783545777876
Plxdc1	Secreted;Membrane		-0.31795503605419	0.00487631724649358	-0.809312910614391	0.0115820137992668	-0.824051935553411	0.00764813421194978	-1.05493711186762	0.000376703172176472	-0.251923115817329	0.59798138679552	8.89763878038969
Dock8	ImmuneReg;SignalTransduction;CellCommunication;Membrane		-0.315731944123724	0.00425535162649211	-0.800735773962385	0.00474792390292637	-0.756295732554673	0.00525489260260833	-1.06725316088165	9.42369285607925e-05	0.252759776142293	0.517934264225544	10.3379780273028
Il16	ImmuneReg;InflammReg;SignalTransduction;CellCommunication;Secreted;Membrane		-0.244758874675413	0.00920717577593119	-0.612769883051049	0.01713791093176	-0.618859648158857	0.0133279104348803	-0.813832993882103	0.000593266323608656	-0.168119926879761	0.690261303020215	10.4923255918708
Rin3	ImmuneReg;SignalTransduction;CellCommunication		-0.239079948285338	0.0800772619275822	-0.730187545339447	0.0321554684393579	-0.926905093411291	0.00525489260260833	-0.731360644927177	0.0148112436537993	-0.415165071029117	0.318375715490584	9.09246799334264
Hdlbp	Secreted	LipidMetabolism	-0.2354336191493	0.0474309779828055	-0.76141249298804	0.0175226298346443	-0.737987855143066	0.0180412199218728	-0.792586943112655	0.0053968022616527	-0.176096364603161	0.751158143415731	9.3974639790718
Arhgap39	SignalTransduction;CellCommunication		-0.214711572082756	0.0330270752723025	-0.665474344926904	0.0190700653694455	-0.702846097471264	0.0111105966832786	-0.703247989427735	0.00540057897079251	-0.438207009978354	0.164770644199464	10.787476634332
Rbbp4	SignalTransduction;CellCommunication;TFReg		-0.212578078638673	0.0568164477091673	-0.638881681142891	0.0338115841117382	-0.765243221427513	0.00891099541072411	-0.666473082034036	0.011884514464613	-0.426567574546695	0.214031944149182	9.53009632775047
Ccdc88a	SignalTransduction;CellCommunication;Membrane		-0.208578933437351	0.0220919269909018	-0.522940486054765	0.043761857742905	-0.619589391928937	0.0134116524366761	-0.663046809499775	0.00385849386807903	-0.394303856294375	0.167677582555341	10.5887048380272
