gene_symbol	avg_log2FC	p_val	p_val_adj	pct_Tac1	pct_OtherNeu	p_val_adj_BH
Lgi3	0.319138317486903	0.000899845890634588	1	0.462	0.336	0.00297541775192421
Arl8b	0.31900058431493	0.000228959843709459	1	0.778	0.649	0.000899367443635715
Tubb2a	0.318928261058356	6.47027552785748e-06	0.148234012343215	1	0.985	4.26920898877364e-05
Arrdc4	0.318863633538321	0.000279646599645934	1	0.415	0.28	0.00106217073674212
Gm49066	0.31873035780775	0.000490560779312557	1	0.259	0.158	0.00173911873960803
Zc3h12b	0.318690195055174	0.00216195266998402	1	0.137	0.074	0.00645924026162121
Smpd3	0.318236164567906	0.000883064579656544	1	0.571	0.428	0.00292879733025041
Tex2	0.31817388834452	9.13636725262128e-06	0.209314173757553	0.585	0.393	5.68485073496435e-05
Izumo4	0.3181000225447	0.000114955647142657	1	0.712	0.535	0.000500109105157198
Zfp239	0.318023412321265	0.000676865040366148	1	0.401	0.273	0.00231704270871421
Atp6v1c1	0.317913217805589	7.84174964708206e-06	0.17965448441465	0.868	0.736	4.99311406099919e-05
Tbc1d25	0.31767455436655	0.0268551283112563	1	0.212	0.148	0.0600016370657634
Rab6a	0.317639537595735	1.01783713837563e-09	2.33186488401857e-05	0.962	0.911	2.14778387460133e-08
Adgrl1	0.317448620517336	5.079000928576e-06	0.116359911273676	0.925	0.807	3.47184288826604e-05
Alcam	0.317439905865385	0.00433363839086325	1	0.873	0.783	0.0119578853387812
Fbxo45	0.31726149310779	0.00059834357749747	1	0.627	0.483	0.00207755544237595
Gm17586	0.316899735254834	0.00186022326566008	1	0.382	0.269	0.00566628676736627
Tma7	0.316771794758735	2.80084678831734e-11	6.41673999203502e-07	0.981	0.928	9.12992445624637e-10
Hoxc5	0.316679542931898	0.00173898274045396	1	0.382	0.268	0.00533793156029719
Sema5a	0.316534112204307	0.00106537186764462	1	0.542	0.406	0.003452184212071
Zfp689	0.316438405344105	0.199600741077343	1	0.118	0.091	0.335071497704009
Asphd2	0.31635397632356	0.000471822544893917	1	0.844	0.684	0.00167927196550663
Zfp954	0.316046678297606	0.0153257711687395	1	0.241	0.165	0.0366208799042965
Nanos3	0.315900590382223	0.000189799509074011	1	0.274	0.159	0.000766923455721811
Tmem126b	0.315631624704718	2.458179826466e-05	0.56316899824336	0.689	0.497	0.000131908224594637
Slc16a13	0.31541296923204	0.00861331812817448	1	0.16	0.097	0.0219503929894201
Ighmbp2	0.315285938539433	0.0746063116359445	1	0.132	0.092	0.145146436073542
Slc39a9	0.315223557137605	1.3822952332991e-05	0.316683837948823	0.382	0.231	8.08281871358829e-05
Pcbd1	0.314508996746652	0.000231257324756889	1	0.679	0.522	0.000906984010938312
Gm57403	0.314367363097228	4.8951668332049e-05	1	0.623	0.453	0.000239173251984776
Gskip	0.314347245952339	0.00150597516838271	1	0.467	0.332	0.00468859553492208
Ttc39aos1	0.314324424085268	0.0623981530520052	1	0.113	0.077	0.124625117755445
Nup54	0.314308373204683	0.000287085327558814	1	0.571	0.415	0.00108382775348047
Gpn3	0.314277086324214	0.000199955601443846	1	0.585	0.424	0.00079836020759298
Gm38250	0.314183400816802	0.0138875858621068	1	0.146	0.091	0.033458894123377
Fgf14	0.314109360641159	0.000169799443320046	1	0.481	0.328	0.000701687765772904
Zfp934	0.314100082992754	0.00150315146646936	1	0.274	0.175	0.00468541121464611
Tmem109	0.313933085543052	2.66919988858976e-05	0.611513694475915	0.642	0.459	0.000141665432726125
Atp1a3	0.313820168277249	1.66247645262848e-08	0.000380873355297185	0.939	0.823	2.4615922525699e-07
Alkbh7	0.313624384981314	0.000142423867288898	1	0.807	0.614	0.000601651307850972
Cds1	0.313520384223672	0.000372146501072526	1	0.302	0.188	0.00136484963617531
Septin6	0.313425207411812	8.9334931601463e-05	1	0.83	0.667	0.000403531521442803
Arpc5l	0.313108087751287	1.42643109442308e-08	0.000326795363732327	0.953	0.879	2.14850035187586e-07
Rpl22l1	0.312992516943947	1.3305845997655e-11	3.04836931806275e-07	0.991	0.948	4.96751583912452e-10
Orai2	0.312672978812201	4.10147724632247e-05	0.939648437132478	0.462	0.299	0.00020659465692528
A530083I20Rik	0.31261966173994	0.0296628770708523	1	0.146	0.097	0.0657201022350383
Usp27x	0.312602745116579	0.00908173596930014	1	0.274	0.189	0.0230365985562735
Dsel	0.312565152924844	0.00489217305648979	1	0.302	0.206	0.013322326627648
Parm1	0.312315062238051	2.04032900590164e-05	0.467439375252067	0.481	0.32	0.00011252723608306
Tpbg	0.312028279310621	0.00812302248949721	1	0.335	0.248	0.0209206145248371
Apbb2	0.311930720984234	0.0021349818630936	1	0.731	0.62	0.00640494558928079
Zcchc12	0.311760256499145	4.90321542431173e-06	0.112332665370982	0.92	0.79	3.36749134801787e-05
Gm56912	0.311725790042669	0.000366099278988146	1	0.377	0.244	0.00134492989959649
Ganc	0.311398739685297	0.0268912520410547	1	0.241	0.171	0.0600516303248093
Prkcz	0.311292206112953	1.74532231162457e-05	0.399853341593188	0.835	0.644	9.8878960534061e-05
Lcmt2	0.31121747814749	0.00162952858316112	1	0.25	0.156	0.00503379126679476
Ubald1	0.310991353293183	6.55959426024354e-05	1	0.821	0.619	0.000307098689482785
Coa4	0.310954372473368	0.0166887277408481	1	0.255	0.178	0.0393608870259311
Tmem74b	0.310392454381345	0.0021037773552318	1	0.401	0.286	0.00632871865540805
Fam98c	0.310062741903378	2.89863610374622e-05	0.664077531368258	0.717	0.526	0.000152178395446676
Fbxo34	0.30992960359894	0.0431922692742554	1	0.448	0.356	0.0907037654759363
Surf2	0.309845239053189	3.91951986725784e-05	0.897962001588772	0.755	0.564	0.00019907514860677
Fbxw2	0.309681890933036	1.49085219184524e-05	0.341554237151745	0.901	0.758	8.6366609734483e-05
Cops9	0.309669943832387	9.5600884396155e-09	0.000219021626151591	0.948	0.86	1.49671922237421e-07
Prdm4	0.309600741800148	7.83956657690384e-05	1	0.33	0.197	0.000359697760587353
Zc3hc1	0.309481769576112	3.32581685715432e-05	0.761944641974055	0.594	0.423	0.000172122843981636
Tenm1	0.30923284194578	7.87210972696972e-07	0.0180350033844876	0.792	0.585	6.9611537033236e-06
Zfp575	0.309083676773573	0.00183390105326191	1	0.467	0.345	0.00559000683925192
1190005I06Rik	0.309062606788802	0.000141556521251945	1	0.514	0.359	0.000598566200221198
Thap11	0.308966920919603	0.000135249898343673	1	0.627	0.463	0.000575152249562549
Zscan18	0.30883642442877	0.00157692019436928	1	0.467	0.341	0.00488509745319505
Elapor1	0.30860230941679	0.000440090734291523	1	0.354	0.225	0.00158215335587274
Hdac7	0.308545417899385	1.63085101236747e-07	0.00373627966933387	0.519	0.316	1.73745298098075e-06
Panx1	0.308286119098692	3.13742817443175e-06	0.0718784794762314	0.811	0.594	2.26666935822568e-05
Dnajc30	0.308172488092112	2.72168266520426e-05	0.623537498598296	0.807	0.623	0.000143926269753174
Mvp	0.308084004903162	0.233121741065965	1	0.127	0.101	0.379670307597366
Rnf11	0.308073497733985	1.41326837372318e-06	0.0323779784419981	0.929	0.826	1.14317708452275e-05
Fxyd4	0.308030513776729	0.0264816475787798	1	0.108	0.066	0.0593188905764668
Eno2	0.307896219337495	7.71939970522536e-07	0.0176851447246713	0.84	0.664	6.8672785972351e-06
Dynlt1a	0.307863601320436	2.32039788405249e-05	0.531603155236427	0.906	0.737	0.000125594770229756
S1pr5	0.307759582481049	0.0607617022778548	1	0.127	0.087	0.121746383279665
Aplf	0.307392128990093	0.0100286726260091	1	0.16	0.1	0.0250771040939574
Hypk	0.307369793744553	3.66774216428459e-06	0.08402797298376	0.915	0.786	2.61349066453428e-05
Tspyl4	0.307336258297617	3.38235857787691e-06	0.07748983501916	0.948	0.817	2.42199053576498e-05
AI837181	0.307145110608652	5.45479928899348e-05	1	0.745	0.566	0.000262407084739246
Zbtb26	0.307140470184589	0.0061957699977674	1	0.184	0.115	0.0165220533273797
Ncam2	0.307123941315454	5.29494117630455e-06	0.121307102349137	0.788	0.597	3.58023267153224e-05
Chchd6	0.306967910602507	1.24753545876101e-06	0.0285810373602147	0.934	0.788	1.0301011122624e-05
Mrpl14	0.30691445565939	2.8555753590612e-05	0.65421231476092	0.901	0.746	0.000150278953835895
Shq1	0.306886809702306	0.0789763793583415	1	0.146	0.105	0.15216975078837
Wdr27	0.306569387054392	0.00110513463142894	1	0.255	0.16	0.00356779606066639
Gm16894	0.30649470088485	0.11870938628133	1	0.108	0.076	0.216711000369475
Dctn3	0.306478710616761	2.37758305678069e-08	0.000544704278308456	0.962	0.892	3.37184506234352e-07
Sh2d5	0.306402290902471	0.00367255801276043	1	0.278	0.189	0.0103295128137396
Rfc5	0.306309456831298	0.00700405247103698	1	0.321	0.222	0.0183966934416654
Ufsp1	0.306299036403494	5.37512124069093e-05	1	0.613	0.445	0.000259431266070033
Kcnq3	0.306184086458789	0.000207468634334087	1	0.585	0.422	0.000821598363346592
Zscan2	0.30604701633116	0.0561071495911924	1	0.189	0.137	0.113618928796629
Gm3854	0.305974445333021	0.0424484002098526	1	0.179	0.125	0.0894858166586081
Fbxl16	0.305887239583758	2.50966893879951e-05	0.574965153878967	0.731	0.536	0.000134176669824679
Spdya	0.30569169484089	0.110412512578304	1	0.104	0.072	0.203924674394094
Zfp7	0.305208205642767	0.276204324622692	1	0.113	0.091	0.436175159057092
Camk1g	0.304667759991265	0.032753655806872	1	0.288	0.22	0.0716773389601287
Kbtbd4	0.304404294968927	0.00204456007996407	1	0.439	0.317	0.0061675679760242
Fdx2	0.304283846571474	1.99688316790891e-06	0.0457485933767931	0.877	0.693	1.53563128123699e-05
Tceal5	0.303841991582367	8.30538290156568e-06	0.19027632227487	0.863	0.694	5.24247290665302e-05
0610009E02Rik	0.303789902707998	0.376327558125861	1	0.104	0.084	0.555337423612757
