Term	Ont	N	DE	P.DE	FDR	ratio
GO:0009712	catechol-containing compound metabolic process	BP	21	9	0.000272482587974434	0.0523831160588899	0.428571428571429
GO:0042755	eating behavior	BP	21	9	0.000272482587974434	0.0523831160588899	0.428571428571429
GO:0043083	synaptic cleft	CC	17	8	0.000276399727033544	0.0524959674332144	0.470588235294118
GO:0015844	monoamine transport	BP	30	11	0.000297781375466962	0.0552761591613402	0.366666666666667
GO:0032940	secretion by cell	BP	283	52	0.000298050845515981	0.0552761591613402	0.183745583038869
GO:0007612	learning	BP	77	20	0.000307639401789278	0.056391017788444	0.25974025974026
GO:1903998	regulation of eating behavior	BP	10	6	0.000316977869687327	0.0574349326178279	0.6
GO:0033555	multicellular organismal response to stress	BP	45	14	0.000338046900639575	0.0605564925191166	0.311111111111111
GO:0034483	heparan sulfate sulfotransferase activity	MF	7	5	0.000342605559509026	0.0606835285404526	0.714285714285714
GO:0050890	cognition	BP	138	30	0.000351774924662318	0.061615332359742	0.217391304347826
GO:0051937	catecholamine transport	BP	26	10	0.000358823733824666	0.0621593114287036	0.384615384615385
GO:0009914	hormone transport	BP	114	26	0.000395813926536894	0.0678218558470392	0.228070175438596
GO:0046887	positive regulation of hormone secretion	BP	51	15	0.000413606504860693	0.0680960092466479	0.294117647058824
GO:0050432	catecholamine secretion	BP	22	9	0.000414692773894836	0.0680960092466479	0.409090909090909
GO:0050433	regulation of catecholamine secretion	BP	22	9	0.000414692773894836	0.0680960092466479	0.409090909090909
GO:0051954	positive regulation of amine transport	BP	22	9	0.000414692773894836	0.0680960092466479	0.409090909090909
GO:0046903	secretion	BP	308	55	0.000422570747869202	0.0686742811279393	0.178571428571429
GO:0098982	GABA-ergic synapse	CC	68	18	0.000476042529188221	0.0765748411237053	0.264705882352941
GO:0031045	dense core granule	CC	27	10	0.000512116842096713	0.0815455545334605	0.37037037037037
GO:0150034	distal axon	CC	154	32	0.000529434098097538	0.0834599912240959	0.207792207792208
GO:0005216	monoatomic ion channel activity	MF	104	24	0.000548286072614891	0.0855760559277341	0.230769230769231
GO:0098797	plasma membrane protein complex	CC	161	33	0.000562685898752413	0.0869625539993435	0.204968944099379
GO:0015267	channel activity	MF	117	26	0.000606759189307942	0.0919706909639461	0.222222222222222
GO:0022803	passive transmembrane transporter activity	MF	117	26	0.000606759189307942	0.0919706909639461	0.222222222222222
GO:0030594	neurotransmitter receptor activity	MF	23	9	0.000612765233720304	0.0919964870892083	0.391304347826087
GO:0050951	sensory perception of temperature stimulus	BP	11	6	0.00062982317785123	0.0936654016570452	0.545454545454545
GO:0060078	regulation of postsynaptic membrane potential	BP	64	17	0.000651356905003809	0.095962525705421	0.265625
GO:1902495	transmembrane transporter complex	CC	124	27	0.000671742339560861	0.098049502229976	0.217741935483871
GO:0099171	presynaptic modulation of chemical synaptic transmission	BP	19	8	0.000696611808274149	0.100746683904896	0.421052631578947
GO:0008146	sulfotransferase activity	MF	15	7	0.000724375119894929	0.103809539909306	0.466666666666667
GO:0043279	response to alkaloid	BP	33	11	0.000764033037483557	0.107535495304067	0.333333333333333
GO:0019233	sensory perception of pain	BP	38	12	0.000770000638082846	0.107535495304067	0.31578947368421
GO:0030001	metal ion transport	BP	238	44	0.000770839315488426	0.107535495304067	0.184873949579832
GO:0070472	regulation of uterine smooth muscle contraction	BP	5	4	0.000791221148066677	0.109410615597571	0.8
GO:0042756	drinking behavior	BP	8	5	0.000827199773082747	0.113391106285882	0.625
GO:0042734	presynaptic membrane	CC	89	21	0.000884783157596792	0.120238980140999	0.235955056179775
GO:1903522	regulation of blood circulation	BP	78	19	0.00102278679147177	0.136637381192889	0.243589743589744
GO:0005261	monoatomic cation channel activity	MF	78	19	0.00102278679147177	0.136637381192889	0.243589743589744
GO:0120025	plasma membrane bounded cell projection	CC	791	117	0.00111825789500021	0.148136281149439	0.147914032869785
GO:0042417	dopamine metabolic process	BP	16	7	0.0011613389590618	0.152561227922086	0.4375
GO:0019897	extrinsic component of plasma membrane	CC	40	12	0.0012804863536585	0.165394850585158	0.3
GO:0042995	cell projection	CC	810	119	0.00130760135263572	0.165394850585158	0.146913580246914
GO:0017157	regulation of exocytosis	BP	62	16	0.00130843394791265	0.165394850585158	0.258064516129032
GO:0010817	regulation of hormone levels	BP	162	32	0.00131615862688096	0.165394850585158	0.197530864197531
GO:0034703	cation channel complex	CC	51	14	0.00136210847930587	0.165394850585158	0.274509803921569
GO:0060073	micturition	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0007190	activation of adenylate cyclase activity	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0070253	somatostatin secretion	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:2000833	positive regulation of steroid hormone secretion	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:2000848	positive regulation of corticosteroid hormone secretion	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:2000851	positive regulation of glucocorticoid secretion	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0032230	positive regulation of synaptic transmission, GABAergic	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0070474	positive regulation of uterine smooth muscle contraction	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0042713	sperm ejaculation	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0003353	positive regulation of cilium movement	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0007209	phospholipase C-activating tachykinin receptor signaling pathway	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:1902093	positive regulation of flagellated sperm motility	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:2000155	positive regulation of cilium-dependent cell motility	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0008655	pyrimidine-containing compound salvage	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0010138	pyrimidine ribonucleotide salvage	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0032262	pyrimidine nucleotide salvage	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0044206	UMP salvage	BP	3	3	0.00152030785982909	0.165394850585158	1
GO:0042166	acetylcholine binding	MF	3	3	0.00152030785982909	0.165394850585158	1
GO:0008467	[heparan sulfate]-glucosamine 3-sulfotransferase activity	MF	3	3	0.00152030785982909	0.165394850585158	1
GO:0042220	response to cocaine	BP	21	8	0.00152133045767876	0.165394850585158	0.380952380952381
GO:0098771	inorganic ion homeostasis	BP	118	25	0.00159256298416074	0.171953170426781	0.211864406779661
GO:1990351	transporter complex	CC	131	27	0.00161832136367519	0.173545700523644	0.206106870229008
GO:0050698	proteoglycan sulfotransferase activity	MF	9	5	0.0016856760929044	0.17954728330098	0.555555555555556
GO:0050808	synapse organization	BP	233	42	0.00170360339906707	0.180238952905324	0.180257510729614
GO:0098552	side of membrane	CC	158	31	0.00174778382159803	0.183680427757809	0.19620253164557
GO:0030133	transport vesicle	CC	145	29	0.0017981906233224	0.18726344185408	0.2
GO:0042391	regulation of membrane potential	BP	165	32	0.00180563582604797	0.18726344185408	0.193939393939394
GO:0070471	uterine smooth muscle contraction	BP	6	4	0.00215737163649763	0.222279780900318	0.666666666666667
GO:0018958	phenol-containing compound metabolic process	BP	37	11	0.00219840590179113	0.223584971844099	0.297297297297297
GO:0043195	terminal bouton	CC	37	11	0.00219840590179113	0.223584971844099	0.297297297297297
