ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw
16980	Lrrn2	leucine rich repeat protein 2, neuronal	241.243079345991	-0.360007479854223	0.223704272743261	0.107927905024466	0.21454530323243	-0.485778514751363	0.107927905024466
76479	Smndc1	survival motor neuron domain containing 1	988.734422288379	0.311005814929587	0.193553591999856	0.107950477040303	0.21454530323243	0.376818964698578	0.107950477040303
77864	Ypel2	yippee like 2	279.738362240888	0.194839868862531	0.121219726548761	0.107943926667657	0.21454530323243	0.207318834470782	0.107943926667657
56195	Ptbp2	polypyrimidine tract binding protein 2	2065.7589124363	0.297692664202981	0.185264234441118	0.107983451842577	0.214583891117608	0.352940127557291	0.107983451842577
66587	Fastk	Fas-activated serine/threonine kinase	481.060803723431	-0.35980741152338	0.223673713600061	0.10801880544669	0.214627195856789	-0.485512191172851	0.10801880544669
30941	Usp21	ubiquitin specific peptidase 21	131.165788190863	-0.333189572830615	0.207146382346287	0.108051750056183	0.214658392433906	-0.420414818822664	0.108051750056183
18806	Pld2	phospholipase D2	218.705069456914	-0.282369890277552	0.1756516622541	0.108061633547386	0.214658392433906	-0.327230093735661	0.108061633547386
13168	Dbil5	diazepam binding inhibitor-like 5	5.26437341353064	-0.399600078310745	0.246887970690733	0.108110830919525	0.214720166175667	-0.6354987036519	0.108110830919525
56533	Rgs17	regulator of G-protein signaling 17	3916.69097882634	0.310323077721086	0.19321484074772	0.108119866312011	0.214720166175667	0.375621979265662	0.108119866312011
29867	Cabp1	calcium binding protein 1	342.379599177916	-0.40672319042651	0.25263615296318	0.108263613751315	0.214968050316912	-0.712714012336053	0.108263613751315
13436	Dnmt3b	DNA methyltransferase 3B	15.7075988308829	0.315542842688128	0.19631845355984	0.108271851957292	0.214968050316912	0.385353799015619	0.108271851957292
353188	Adam32	a disintegrin and metallopeptidase domain 32	11.381822825537	0.391543292852929	0.245811303983242	0.108321474372243	0.215039595260302	0.624920751991516	0.108321474372243
66875	Swt1	SWT1 RNA endoribonuclease homolog (S. cerevisiae)	312.554095091899	0.217667428511722	0.135579234536058	0.108350435075413	0.215070109808539	0.235725226822871	0.108350435075413
