ENTREZID	SYMBOL	GENENAME	baseMean	log2FC_shrink	lfcSE	pvalue	FDR	log2FC_raw	pvalue_raw	sig_status
226652	Arhgap30	Rho GTPase activating protein 30	12.0877595699427	0.918308247764998	0.253792910794115	0.000152740768408724	0.013281732971629	2.19311647172696	0.000152740768408724	up
18782	Pla2g2d	phospholipase A2, group IID	8.24537554690428	0.922940820964209	0.244199849363098	0.000162525225008365	0.0137546749250395	1.46314797092692	0.000162525225008365	up
20296	Ccl2	C-C motif chemokine ligand 2	206.556697603316	0.930821442465437	0.252217429237646	0.000172508016964557	0.0141569247873276	1.64940770891859	0.000172508016964557	up
12123	Hrk	harakiri, BCL2 interacting protein (contains only BH3 domain)	57.9214048897024	0.728225444931612	0.194012706424266	0.000172645424235703	0.0141569247873276	0.884998291942318	0.000172645424235703	up
16633	Klra2	killer cell lectin-like receptor, subfamily A, member 2	9.49680570355673	0.909380471952282	0.253771087647637	0.000174634629217952	0.0142440059918271	2.19128395421557	0.000174634629217952	up
13860	Eps8	epidermal growth factor receptor pathway substrate 8	54.0922017776089	0.753898055432814	0.201145744131116	0.000175507466726038	0.0142440059918271	0.936200570040967	0.000175507466726038	up
99899	Ifi44	interferon-induced protein 44	165.324444391807	0.88814855678082	0.252128053244358	0.000178212616797113	0.014389759558322	2.23326455311991	0.000178212616797113	up
24110	Usp18	ubiquitin specific peptidase 18	391.641953356288	0.890801404371088	0.252450142962851	0.000180538349996788	0.0144303026618645	2.20981296173442	0.000180538349996788	up
236573	Gbp9	guanylate-binding protein 9	131.425265330899	0.881904206891923	0.251570572437539	0.000180329948605294	0.0144303026618645	2.2639371147522	0.000180329948605294	up
18828	Plscr2	phospholipid scramblase 2	282.389795396387	0.923009481434845	0.251356567912266	0.00019087700611321	0.015121214617815	1.60319807350756	0.00019087700611321	up
381801	Tatdn2	TatD DNase domain containing 2	192.715399324021	0.778791263119036	0.209215406780292	0.000192938297919414	0.015121214617815	0.992734874958781	0.000192938297919414	up
15894	Icam1	intercellular adhesion molecule 1	63.6055065387335	0.811522247534782	0.219058993327188	0.000205415134304133	0.0158826862099444	1.07727788024228	0.000205415134304133	up
282663	Serpinb1b	serine (or cysteine) peptidase inhibitor, clade B, member 1b	112.277378043798	0.635888217713463	0.171358452567932	0.000205734277330886	0.0158826862099444	0.731187110777916	0.000205734277330886	up
327762	Dna2	DNA replication helicase/nuclease 2	19.9330475032996	0.816847295803552	0.220787498770309	0.000213336313539166	0.0161817765719908	1.09615664308459	0.000213336313539166	up
17096	Lyn	Lyn proto-oncogene, Src family tyrosine kinase	48.2872986502041	0.664954305887107	0.179496938875383	0.000213698426863773	0.0161817765719908	0.778142677061382	0.000213698426863773	up
54123	Irf7	interferon regulatory factor 7	451.453847602571	0.903363773701378	0.254622751623672	0.000216639910240965	0.0162490199975048	2.00729279580782	0.000216639910240965	up
108670	Epsti1	epithelial stromal interaction 1	21.1068939717366	0.844721513032649	0.228971456487209	0.000215997062556787	0.0162490199975048	1.18351112826958	0.000215997062556787	up
20308	Ccl9	C-C motif chemokine ligand 9	9.43633050870773	0.907000191140177	0.247412497222461	0.000221740950082062	0.0164754566948297	1.50093307842902	0.000221740950082062	up
100702	Gbp6	guanylate binding protein 6	143.183998558718	0.879295113994712	0.252588053054036	0.000224033093596707	0.0165679800900069	2.17193579485093	0.000224033093596707	up
104759	Pld4	phospholipase D family member 4	8.75117462236672	0.93384169035374	0.253857585040045	0.000225142046870398	0.0165725489942833	1.74924644660423	0.000225142046870398	up
15944	Irgm1	immunity-related GTPase family M member 1	1274.40724091448	0.915066265405639	0.253981799000746	0.000231575215935697	0.0169671729972146	1.71059977502916	0.000231575215935697	up
12772	Ccr2	C-C motif chemokine receptor 2	27.0154732370406	0.890675799544562	0.25382696779655	0.000235557233115601	0.0171543837165968	2.09486437631428	0.000235557233115601	up
19253	Ptpn18	protein tyrosine phosphatase, non-receptor type 18	10.1002413761974	0.928291613492031	0.253975631623045	0.000240848938386908	0.0173722522801164	1.74258178038371	0.000240848938386908	up
68774	Ms4a6d	membrane-spanning 4-domains, subfamily A, member 6D	37.1505220358809	0.801370752689473	0.243159223276911	0.000241494723974826	0.0173722522801164	2.58321359829057	0.000241494723974826	up
69591	Mdrl	mitochondrial dynamic related lncRNA	46.3686559439099	0.719272504660305	0.196252037815501	0.000244995324112997	0.0173916175915252	0.87997380665965	0.000244995324112997	up
17874	Myd88	myeloid differentiation primary response gene 88	477.213466725459	0.670337890752387	0.183263001712916	0.000251898233104405	0.0176414908979015	0.791328280649657	0.000251898233104405	up
23972	Papss2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	12.8124707167861	0.774835799676282	0.211140565871806	0.000255341465064476	0.0176464367952419	0.997984425410511	0.000255341465064476	up
330998	Ankrd34c	ankyrin repeat domain 34C	20.3179889306469	0.686537233490045	0.187291415032275	0.000254029551395331	0.0176464367952419	0.819504908579035	0.000254029551395331	up
53857	Tuba8	tubulin, alpha 8	15.0902237315194	0.747553757276933	0.204131716011848	0.000263266788563546	0.0180366242242713	0.937543742746435	0.000263266788563546	up
16193	Il6	interleukin 6	33.7908046653745	0.902888538460285	0.251442253901176	0.000268778148430774	0.0181007786258103	1.57670082892671	0.000268778148430774	up
