"ENTREZID","SYMBOL","GENENAME","baseMean","log2FC_shrink","lfcSE","pvalue","FDR","log2FC_raw","pvalue_raw"
"27369","Dguok","deoxyguanosine kinase",321.822526722881,-0.250579682054221,0.149991454129599,0.0948468117962195,0.430333726763159,-0.299344628620872,0.0948468117962195
"77626","Smpd4","sphingomyelin phosphodiesterase 4",433.471176989615,0.243568422244355,0.145812563865799,0.0948230184584588,0.430333726763159,0.287250789069361,0.0948230184584588
"109552","Sri","sorcin",2297.05548654062,-0.251992129672208,0.150950624993503,0.0949993439991855,0.43067465004475,-0.302042915580121,0.0949993439991855
"65115","Bean1","brain expressed, associated with Nedd4, 1",1817.39109589866,-0.329749210001413,0.197927666214698,0.0950601569342857,0.43082611338162,-0.540234329741312,0.0950601569342857
"68393","Mogat1","monoacylglycerol O-acyltransferase 1",5.83701367913514,0.334702587852341,0.20128220594661,0.0952865703560094,0.430998960774897,0.595702154588608,0.0952865703560094
"319901","Dsel","dermatan sulfate epimerase-like",445.428643713346,0.334018589433405,0.200128663924302,0.0952428423896696,0.430998960774897,0.571248724857546,0.0952428423896696
"71878","Fam83d","family with sequence similarity 83, member D",21.5031254835477,0.325302834951758,0.196157279079529,0.0952121061824704,0.430998960774897,0.883849239470286,0.0952121061824704
"20672","Sox18","SRY (sex determining region Y)-box 18",75.2019177226633,-0.3201947095117,0.191932773482675,0.0952917324384112,0.430998960774897,-0.483021644111723,0.0952917324384112
"24128","Xrn2","5'-3' exoribonuclease 2",551.377211966136,0.307827841412765,0.184518803865629,0.0953176050511587,0.430998960774897,0.4342966997753,0.0953176050511587
"54366","Ctnnal1","catenin alpha like 1",543.498923886018,0.264517542988626,0.158545660240396,0.0952571738853374,0.430998960774897,0.325589967478717,0.0952571738853374
