probe_id	colleague_log2FC	colleague_padj	ours_log2FC	ours_padj	status
ILMN_1213445	-0.584962433203032	0.91285056798366	-0.422441551501345	0.242486314623472	ns
ILMN_1213448	-21.7639540413453	0.834540291442405	0.446210823192828	0.114500602213456	ns
ILMN_1213449	0	NA	-0.634519644823747	0.0490367082690145	ns
ILMN_1213454	0.268214664339904	0.924412698073075	-0.0719082915034193	0.896133039362279	ns
ILMN_1213455	2.96347426108862	0.834540291442405	-0.656327602167996	0.15413323371274	ns
ILMN_1213456	0	NA	-1.38910895823899	0.000762610389699179	ns
ILMN_1213457	0	NA	-0.974715729562132	0.00190946983718147	ns
ILMN_1213458	-0.367952351383129	0.903777644321902	0.317305811883697	0.598276953305567	ns
ILMN_1213470	0.0416728320639883	0.998000306509943	-0.0485717386360633	0.893879319899113	ns
ILMN_1213471	-1.86824705088739	0.834540291442405	0.37194214695943	0.44988433145502	ns
ILMN_1213474	-0.660947704884502	0.834540291442405	0.194969781651643	0.436504719430888	ns
ILMN_1213477	0	NA	-0.577657008245803	0.0290198065856341	ns
ILMN_1213483	0	NA	0.429194423023869	0.169666201548591	ns
ILMN_1213487	0.431228923304684	0.834540291442405	-0.0538684007684056	0.857354890291984	ns
ILMN_1213493	-1.03939351699573	0.834540291442405	0.15216641584786	0.546074495215092	ns
ILMN_1213495	-0.100837135697812	0.965511707040245	0.0246277897434659	0.951422092742854	ns
ILMN_1213497	-1.64139612605552	0.834540291442405	0.37246156162819	0.146022795228026	ns
ILMN_1213506	1.08200813830807	0.834540291442405	-0.0349225904186383	0.958357248037136	ns
ILMN_1213515	-0.194047671605176	0.981588868970105	-0.161885673791025	0.641303355925577	ns
ILMN_1213519	-0.0593340873805628	0.999826707913607	0.0783582034562338	0.874532620561815	ns
ILMN_1213521	-0.110395412955983	0.975765353436421	0.028007313812096	0.921187664488855	ns
ILMN_1213524	0	NA	-0.498001966348866	0.052964509250195	ns
ILMN_1213531	0	NA	-0.156058496639446	0.618301972209817	ns
ILMN_1213534	2.76128484282506	0.834540291442405	-0.581642076013787	0.0250172207007297	ns
ILMN_1213541	1.37563879615247	0.834540291442405	-0.211099867581333	0.59570324856192	ns
ILMN_1213547	0.240100311501044	0.960638513304883	-0.0278895604201832	0.929908466758229	ns
ILMN_1213549	-0.718768892007946	0.851190778480876	0.152320909052506	0.720755138125561	ns
ILMN_1213564	0.584192610130483	0.90526363166033	0.0340076278771688	0.954243576621802	ns
ILMN_1213566	0.0386808305478503	1	-0.226719639341897	0.678217554906295	ns
ILMN_1213567	0	NA	-0.211222249785553	0.610693113102963	ns
ILMN_1213569	-0.196800541058965	0.930214686570984	0.0387221709786836	0.908582978468752	ns
ILMN_1213572	1.22186103285469	0.834540291442405	-0.181960205091523	0.7452485023911	ns
ILMN_1213573	0	NA	-1.00884054550966	0.00019554342776419	ns
ILMN_1213574	0	NA	0.790410887299554	0.00901302862515697	ns
ILMN_1213579	-0.153359462433081	0.940557879756252	0.0368800614954718	0.899158128487697	ns
ILMN_1213586	-1.1520029375782	0.83828656524364	0.20177475695819	0.790431253809112	ns
ILMN_1213591	3.05889389430866	0.834540291442405	-0.542718741568913	0.190535232492405	ns
ILMN_1213596	-0.862496324641165	0.834915730502538	0.488800299444376	0.353975054011488	ns
ILMN_1213604	0	NA	-0.441543818711866	0.14968988976671	ns
ILMN_1213609	0	NA	-0.00582078998840174	0.98964108650641	ns
ILMN_1213610	-0.484752056256952	0.945719983848426	-0.0887947783784577	0.848414864705402	ns
ILMN_1213615	-1.52617787082945	0.834540291442405	0.465214083539017	0.333785384396905	ns
ILMN_1213616	0	1	0.154477835680466	0.803609880145725	ns
ILMN_1213617	-21.7639540413453	0.834540291442405	0.050770875229504	0.932598472036378	ns
ILMN_1213618	-0.889955179601254	0.856044778513612	0.381015911058727	0.365036035421833	ns
ILMN_1213620	-0.56073784382624	0.834540291442405	0.133955342392381	0.551367582810828	ns
ILMN_1213625	0	NA	-1.2645156099038	2.28172543590522e-05	ns
ILMN_1213627	1.41831265108696	0.834540291442405	-0.431570408863754	0.417510166612753	ns
ILMN_1213628	-1.9613887065868	0.834540291442405	0.41426141586251	0.299337941656293	ns
ILMN_1213630	-0.588061744268244	0.834540291442405	0.116699085667868	0.72816010229802	ns
ILMN_1213638	0	NA	0.0168327995902509	0.972311595608693	ns
ILMN_1213645	0	NA	-1.64839723916351	3.53850336783816e-06	ns
ILMN_1213647	-0.330938455931855	0.873526580334349	0.102391483888737	0.65176152650701	ns
ILMN_1213653	-0.684137615293575	0.896827928426966	0.0682366248113473	0.909060986118216	ns
ILMN_1213656	-0.298265350454257	0.939841926936796	-0.0453404506344333	0.919752471315048	ns
ILMN_1213658	-0.532220873805501	0.918366339087152	0.0209102209408929	0.956091342104828	ns
ILMN_1213664	-0.103466819222197	0.982228759375011	0.0376736467651906	0.886576247348716	ns
ILMN_1213672	0.348454432317102	0.8642515818177	-0.086152945183688	0.794595786834194	ns
ILMN_1213678	1.17956160328284	0.834540291442405	-0.185630810990529	0.49750495687467	ns
ILMN_1213680	0	1	-0.188034887640478	0.721444708370969	ns
ILMN_1213681	2.09310904302884	0.834540291442405	-0.261635739839785	0.596585123532271	ns
ILMN_1213684	-1.33038954094368	0.834540291442405	0.363610656775996	0.269428616024518	ns
ILMN_1213692	1.72043583349911	0.834540291442405	-0.427181131769916	0.222825950824504	ns
ILMN_1213703	0	NA	-0.46773363303936	0.238443032228842	ns
ILMN_1213707	1.42290544466882	0.834540291442405	-0.491343230316856	0.280872124128456	ns
ILMN_1213708	-0.370914831959001	0.939841926936796	0.00336624800331631	0.992339429086025	ns
ILMN_1213711	0	NA	-0.267045823163825	0.285775218079014	ns
ILMN_1213725	1.15200310601092	0.834540291442405	-0.308819713452626	0.5995985537699	ns
ILMN_1213728	-0.205498295165558	0.955438891682541	0.0597948375600064	0.870192736882408	ns
ILMN_1213734	0	1	0.00223555404160258	0.996613796371938	ns
ILMN_1213736	0.221231258474459	0.964440736136653	-0.0872945901802611	0.764293401735308	ns
ILMN_1213745	-2.58496216313055	0.834540291442405	0.422851677516833	0.37431019460948	ns
ILMN_1213750	1.0220782622433	0.834540291442405	-0.161143598444859	0.40137158639347	ns
ILMN_1213753	1.54056769605967	0.834540291442405	-0.515866719313802	0.220303697777386	ns
ILMN_1213763	2.2630347916549	0.834540291442405	-0.48842362763587	0.0631040292990641	ns
ILMN_1213772	0.866669261700476	0.838780585328323	-0.0688121032728235	0.825642069717504	ns
ILMN_1213779	1.99999984808422	0.834540291442405	-0.506950133140466	0.240426948192227	ns
ILMN_1213781	0	NA	-0.12818638151767	0.799324198057472	ns
ILMN_1213784	-0.422312140086243	0.859856158636642	0.103347564295882	0.680437498272656	ns
ILMN_1213786	0	NA	-0.810623409644662	0.00902960407587557	ns
ILMN_1213802	4.90923460105794	0.834540291442405	-1.13089994038843	0.0397665905759099	仅我们认为是DEG
ILMN_1213803	0	NA	-0.361428500348225	0.270404167954822	ns
